Disk transfers per second his02,sda,sda1,sda2,sda3,sdf,sdg,sde,sdh,sdj,sdi,sdk,sdm,sdn,sdl,sdp,sdd,sdo,sdb,sdc,sdr,sdq,sdu,sdx,sds,sdv,sdt,sdw,sdy,dm-0,dm-1,sdz,sdaa,sdab,sdac,sdad,sdae,sdaf,sdag,sdah,sdai,sdaj,sdak,sdal,sdam,sdan,sdao,sdap,sdaq,sdar,sdas,sdat,sdau,sdav,sdaw,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,sdax,sday,sdaz,sdba,dm-8,sdbb,sdbc,sdbd,sdbe,sdbf,sdbg,sdbh,sdbi,dm-9,sdbj,sdbk,sdbl,sdbm,sdbn,sdbo,sdbp,sdbq,dm-10,sdbr,sdbs,sdbt,sdbu
2025-01-20 08:05:03,7.2,0.0,0.0,7.2,0.5,63.0,0.5,62.5,0.5,64.2,0.5,63.0,62.5,0.5,0.5,62.5,64.1,0.5,63.0,63.0,0.5,0.5,0.5,62.5,0.5,64.2,64.1,0.5,13.5,0.0,64.2,0.5,0.5,0.5,63.0,62.5,64.2,0.5,0.5,63.0,62.5,0.5,0.5,63.0,62.5,0.5,63.0,62.5,64.2,0.5,0.5,64.2,0.5,0.5,4.1,504.0,499.8,4.2,4.1,513.6,67.4,67.4,67.4,67.4,539.0,67.4,67.4,67.4,67.4,61.9,61.9,61.9,61.9,495.0,61.9,61.9,61.9,61.9,72.6,72.6,72.6,72.6,580.9,72.6,72.6,72.6,72.6
2025-01-20 08:05:33,13.5,0.0,0.0,13.5,0.4,72.7,0.4,71.7,0.4,69.6,0.4,72.7,71.8,0.4,0.4,71.7,69.6,0.4,72.7,72.7,0.4,0.4,0.4,71.7,0.4,69.6,69.6,0.4,19.3,0.0,69.6,0.4,0.4,0.4,72.7,71.7,69.6,0.4,0.4,72.7,71.7,0.4,0.4,72.7,71.8,0.4,72.7,71.8,69.6,0.4,0.4,69.6,0.4,0.4,3.0,581.5,574.0,3.1,3.0,556.5,69.8,69.9,69.9,69.8,558.8,69.8,69.9,69.9,69.9,68.2,68.2,68.2,68.2,545.6,68.2,68.2,68.2,68.2,76.7,76.7,76.7,76.7,613.4,76.7,76.7,76.7,76.7
2025-01-20 08:06:03,8.6,0.0,0.0,8.6,0.4,63.5,0.4,60.2,0.4,61.9,0.4,63.5,60.2,0.4,0.4,60.2,61.9,0.4,63.5,63.5,0.4,0.4,0.4,60.2,0.4,61.9,62.0,0.4,16.6,0.0,61.9,0.4,0.4,0.4,63.5,60.2,61.9,0.4,0.4,63.5,60.2,0.4,0.4,63.5,60.2,0.4,63.5,60.2,61.9,0.4,0.4,62.0,0.4,0.4,3.0,508.1,481.6,3.1,3.0,495.5,59.7,59.7,59.7,59.7,477.3,59.7,59.7,59.7,59.6,58.1,58.1,58.2,58.1,465.1,58.1,58.1,58.2,58.1,64.4,64.5,64.4,64.4,515.5,64.5,64.4,64.4,64.4
2025-01-20 08:06:33,14.2,0.0,0.0,14.2,0.4,59.5,0.4,56.2,0.4,61.5,0.4,59.5,56.1,0.4,0.4,56.1,61.5,0.4,59.5,59.5,0.4,0.4,0.4,56.1,0.4,61.5,61.5,0.4,21.3,0.0,61.5,0.4,0.4,0.4,59.5,56.1,61.5,0.4,0.4,59.5,56.1,0.4,0.4,59.5,56.1,0.4,59.5,56.1,61.5,0.4,0.4,61.5,0.4,0.4,3.0,475.9,448.9,3.1,3.0,491.9,60.4,60.4,60.4,60.4,483.0,60.4,60.4,60.4,60.4,60.0,60.0,60.0,60.0,480.2,60.0,60.0,60.0,60.0,65.4,65.4,65.5,65.5,523.6,65.4,65.5,65.5,65.5
2025-01-20 08:07:03,10.5,0.0,0.0,10.5,0.4,59.4,0.4,57.2,0.4,60.2,0.4,59.4,57.2,0.4,0.4,57.2,60.2,0.4,59.4,59.4,0.4,0.4,0.4,57.2,0.4,60.3,60.3,0.4,20.6,0.0,60.2,0.4,0.4,0.4,59.4,57.2,60.2,0.4,0.4,59.4,57.2,0.4,0.4,59.4,57.2,0.4,59.4,57.2,60.3,0.4,0.4,60.3,0.4,0.4,3.0,475.0,457.5,3.1,3.0,482.2,58.6,58.6,58.6,58.6,468.5,58.5,58.6,58.6,58.6,58.9,58.9,58.9,58.9,471.2,58.9,58.9,58.9,58.9,68.3,68.3,68.2,68.2,546.0,68.3,68.3,68.2,68.2
2025-01-20 08:07:33,15.3,0.0,0.0,15.3,0.4,56.2,0.4,52.5,0.4,56.6,0.4,56.3,52.5,0.4,0.4,52.5,56.6,0.4,56.3,56.3,0.4,0.4,0.4,52.5,0.4,56.6,56.5,0.4,21.2,0.0,56.6,0.4,0.4,0.4,56.3,52.5,56.6,0.4,0.4,56.3,52.5,0.4,0.4,56.3,52.5,0.4,56.3,52.5,56.6,0.4,0.4,56.5,0.4,0.4,3.0,450.1,419.9,3.1,3.0,452.3,57.0,57.0,57.0,56.9,455.7,57.0,57.0,57.0,57.0,54.1,54.0,54.1,54.1,432.5,54.1,54.1,54.1,54.1,61.9,61.9,61.9,61.9,495.2,61.9,61.9,61.9,61.9
2025-01-20 08:08:03,6.8,0.0,0.0,6.8,0.4,58.2,0.4,52.9,0.4,57.1,0.4,58.2,52.9,0.4,0.4,52.9,57.1,0.4,58.2,58.2,0.4,0.4,0.4,52.9,0.4,57.1,57.1,0.4,12.7,0.0,57.1,0.4,0.4,0.4,58.2,52.9,57.1,0.4,0.4,58.2,52.9,0.4,0.4,58.2,52.9,0.4,58.2,52.9,57.1,0.4,0.4,57.1,0.4,0.4,3.1,465.6,423.1,3.1,3.0,456.9,58.4,58.4,58.4,58.4,467.4,58.4,58.4,58.4,58.4,53.7,53.8,53.8,53.7,430.0,53.7,53.8,53.7,53.7,59.8,59.8,59.8,59.8,478.4,59.8,59.8,59.8,59.8
2025-01-20 08:08:33,15.7,0.0,0.0,15.7,0.4,76.0,0.4,71.8,0.4,76.5,0.4,76.0,71.8,0.4,0.4,71.8,76.5,0.4,75.9,76.0,0.4,0.4,0.4,71.8,0.4,76.5,76.5,0.4,21.8,0.0,76.5,0.4,0.4,0.4,76.0,71.8,76.5,0.4,0.4,76.0,71.8,0.4,0.4,76.0,71.8,0.4,76.0,71.8,76.5,0.4,0.4,76.5,0.4,0.4,3.0,607.6,574.3,3.1,3.0,612.2,72.3,72.3,72.3,72.3,578.1,72.3,72.3,72.3,72.3,72.6,72.6,72.6,72.6,581.0,72.6,72.6,72.6,72.6,81.0,81.0,81.0,81.0,647.8,81.0,81.0,81.0,81.0
2025-01-20 08:09:03,6.0,0.0,0.0,6.0,0.4,58.0,0.4,58.7,0.4,59.5,0.4,58.0,58.7,0.4,0.4,58.7,59.5,0.4,58.0,58.0,0.4,0.4,0.4,58.7,0.4,59.5,59.5,0.4,11.3,0.0,59.5,0.4,0.4,0.4,58.0,58.7,59.5,0.4,0.4,58.0,58.7,0.4,0.4,58.0,58.7,0.4,58.0,58.7,59.5,0.4,0.4,59.5,0.4,0.4,3.0,463.9,469.8,3.1,3.0,476.5,57.6,57.6,57.6,57.6,460.8,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,460.9,57.6,57.6,57.6,57.6,64.6,64.6,64.6,64.6,516.9,64.6,64.6,64.6,64.6
2025-01-20 08:09:33,14.8,0.0,0.0,14.8,0.4,56.4,0.4,55.4,0.4,57.1,0.4,56.5,55.4,0.4,0.4,55.5,57.1,0.4,56.4,56.4,0.4,0.4,0.4,55.4,0.4,57.1,57.1,0.4,20.6,0.0,57.1,0.4,0.4,0.4,56.4,55.5,57.1,0.4,0.4,56.5,55.4,0.4,0.4,56.5,55.4,0.4,56.4,55.5,57.1,0.4,0.4,57.1,0.4,0.4,3.0,451.6,443.6,3.1,3.0,456.5,56.9,56.9,56.9,56.9,455.5,56.9,56.9,56.9,56.9,56.6,56.6,56.6,56.6,452.6,56.6,56.6,56.6,56.6,63.9,63.9,63.9,63.9,511.4,63.9,63.9,63.9,63.9
2025-01-20 08:10:03,7.5,0.0,0.0,7.5,0.5,50.6,0.5,47.7,0.5,50.9,0.5,50.6,47.7,0.5,0.5,47.7,50.9,0.5,50.7,50.7,0.5,0.5,0.5,47.7,0.5,51.0,51.0,0.5,14.9,0.0,50.9,0.5,0.5,0.5,50.7,47.7,50.9,0.5,0.5,50.6,47.7,0.5,0.5,50.6,47.7,0.5,50.7,47.7,51.0,0.5,0.5,51.0,0.5,0.5,4.2,405.3,381.8,4.2,4.1,407.8,52.0,52.0,52.0,52.0,416.2,52.0,52.0,52.0,52.0,49.4,49.4,49.4,49.4,395.5,49.4,49.4,49.4,49.4,56.7,56.7,56.7,56.7,453.4,56.7,56.7,56.7,56.7
2025-01-20 08:10:33,9.2,0.0,0.0,9.2,0.4,52.2,0.4,49.1,0.4,50.4,0.4,52.2,49.1,0.4,0.4,49.2,50.4,0.4,52.2,52.2,0.4,0.4,0.4,49.2,0.4,50.4,50.3,0.4,15.7,0.0,50.4,0.4,0.4,0.4,52.2,49.2,50.4,0.4,0.4,52.2,49.2,0.4,0.4,52.2,49.2,0.4,52.2,49.2,50.3,0.4,0.4,50.3,0.4,0.4,3.0,417.4,393.4,3.1,3.0,402.7,47.2,47.2,47.2,47.2,377.9,47.2,47.2,47.2,47.2,48.1,48.0,48.1,48.1,384.5,48.1,48.1,48.1,48.1,55.2,55.2,55.3,55.3,442.1,55.2,55.3,55.3,55.3
2025-01-20 08:11:03,8.5,0.0,0.0,8.5,0.4,56.2,0.4,54.3,0.4,54.2,0.4,56.2,54.3,0.4,0.4,54.3,54.2,0.4,56.2,56.2,0.4,0.4,0.4,54.3,0.4,54.2,54.2,0.4,15.2,0.0,54.2,0.4,0.4,0.4,56.2,54.3,54.2,0.4,0.4,56.2,54.3,0.4,0.4,56.2,54.3,0.4,56.2,54.3,54.2,0.4,0.4,54.2,0.4,0.4,3.0,449.8,434.3,3.1,3.0,433.4,53.2,53.2,53.3,53.2,425.9,53.2,53.2,53.2,53.2,51.2,51.3,51.3,51.2,410.1,51.2,51.2,51.2,51.2,57.6,57.6,57.6,57.6,460.6,57.6,57.6,57.6,57.6
2025-01-20 08:11:33,15.0,0.0,0.0,15.0,0.4,57.7,0.4,55.9,0.4,59.8,0.4,57.7,55.9,0.4,0.4,55.9,59.8,0.4,57.7,57.7,0.4,0.4,0.4,55.9,0.4,59.8,59.8,0.4,21.3,0.0,59.8,0.4,0.4,0.4,57.7,55.9,59.8,0.4,0.4,57.7,55.9,0.4,0.4,57.7,55.9,0.4,57.7,55.9,59.8,0.4,0.4,59.8,0.4,0.4,3.0,461.8,447.3,3.1,3.0,478.3,59.2,59.2,59.2,59.3,474.0,59.3,59.2,59.2,59.3,62.7,62.7,62.7,62.7,501.4,62.7,62.7,62.7,62.7,65.7,65.7,65.7,65.7,525.8,65.7,65.7,65.7,65.7
2025-01-20 08:12:03,14.7,0.0,0.0,14.7,0.4,62.2,0.4,57.8,0.4,60.7,0.4,62.2,57.8,0.4,0.4,57.8,60.8,0.4,62.2,62.2,0.4,0.4,0.4,57.8,0.4,60.8,60.7,0.4,25.7,0.0,60.7,0.4,0.4,0.4,62.2,57.8,60.8,0.4,0.4,62.2,57.8,0.4,0.4,62.2,57.8,0.4,62.2,57.8,60.8,0.4,0.4,60.8,0.4,0.4,3.0,497.5,462.7,3.1,3.0,486.0,59.0,59.0,59.0,59.0,472.1,59.0,59.0,59.0,59.0,57.6,57.6,57.6,57.7,461.2,57.6,57.6,57.6,57.7,64.4,64.4,64.4,64.4,515.0,64.4,64.4,64.4,64.4
2025-01-20 08:12:33,13.1,0.0,0.0,13.1,0.4,58.6,0.4,58.8,0.4,59.8,0.4,58.6,58.8,0.4,0.4,58.8,59.7,0.4,58.5,58.5,0.4,0.4,0.4,58.8,0.4,59.7,59.8,0.4,18.5,0.0,59.8,0.4,0.4,0.4,58.5,58.8,59.7,0.4,0.4,58.6,58.8,0.4,0.4,58.6,58.8,0.4,58.5,58.8,59.7,0.4,0.4,59.7,0.4,0.4,3.0,468.4,470.2,3.1,3.0,477.9,57.6,57.6,57.7,57.7,461.2,57.6,57.6,57.7,57.7,56.6,56.6,56.6,56.6,452.8,56.6,56.6,56.6,56.6,67.9,67.9,67.9,67.9,542.9,67.9,67.9,67.9,67.8
2025-01-20 08:13:03,7.7,0.0,0.0,7.7,0.4,57.7,0.4,56.5,0.4,58.4,0.4,57.7,56.5,0.4,0.4,56.5,58.4,0.4,57.7,57.7,0.4,0.4,0.4,56.5,0.4,58.4,58.4,0.4,12.9,0.0,58.4,0.4,0.4,0.4,57.7,56.5,58.4,0.4,0.4,57.7,56.5,0.4,0.4,57.7,56.5,0.4,57.7,56.5,58.4,0.4,0.4,58.4,0.4,0.4,3.0,461.4,452.1,3.1,3.0,467.3,61.3,61.3,61.3,61.3,490.4,61.3,61.3,61.3,61.3,59.1,59.1,59.0,59.1,472.5,59.1,59.1,59.0,59.1,63.5,63.5,63.5,63.5,508.1,63.5,63.5,63.5,63.5
2025-01-20 08:13:33,15.1,0.0,0.0,15.1,0.4,58.7,0.4,55.6,0.4,61.2,0.4,58.7,55.6,0.4,0.4,55.6,61.2,0.4,58.7,58.7,0.4,0.4,0.4,55.5,0.4,61.2,61.2,0.4,21.8,0.0,61.2,0.4,0.4,0.4,58.7,55.6,61.2,0.4,0.4,58.7,55.6,0.4,0.4,58.7,55.6,0.4,58.7,55.6,61.2,0.4,0.4,61.2,0.4,0.4,3.0,469.4,444.5,3.1,3.0,489.6,59.1,59.1,59.0,59.1,472.5,59.1,59.1,59.1,59.0,60.9,60.9,60.9,60.9,487.3,60.9,60.9,60.9,60.9,65.8,65.8,65.8,65.8,526.6,65.8,65.8,65.8,65.8
2025-01-20 08:14:03,2.9,0.0,0.0,2.9,0.4,60.7,0.4,55.3,0.4,63.3,0.4,60.7,55.3,0.4,0.4,55.3,63.2,0.4,60.7,60.7,0.4,0.4,0.4,55.3,0.4,63.2,63.2,0.4,8.2,0.0,63.2,0.4,0.4,0.4,60.7,55.3,63.2,0.4,0.4,60.7,55.3,0.4,0.4,60.7,55.3,0.4,60.6,55.3,63.2,0.4,0.4,63.2,0.4,0.4,3.0,485.3,442.5,3.1,3.0,505.8,59.0,59.0,59.0,59.0,472.1,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,471.8,59.0,59.0,59.0,59.0,64.0,64.0,64.0,64.0,511.9,64.0,64.0,64.0,64.0
2025-01-20 08:14:33,15.6,0.0,0.0,15.6,0.4,60.8,0.4,55.4,0.4,60.7,0.4,60.8,55.4,0.4,0.4,55.4,60.7,0.4,60.8,60.8,0.4,0.4,0.4,55.4,0.4,60.7,60.7,0.4,23.0,0.0,60.7,0.4,0.4,0.4,60.8,55.4,60.7,0.4,0.4,60.8,55.4,0.4,0.4,60.8,55.5,0.4,60.8,55.4,60.7,0.4,0.4,60.7,0.4,0.4,3.0,486.3,443.7,3.1,3.0,485.6,57.3,57.3,57.3,57.3,458.6,57.3,57.3,57.3,57.3,57.1,57.1,57.1,57.1,456.8,57.1,57.1,57.1,57.1,66.0,66.0,65.9,66.0,527.6,66.0,65.9,66.0,66.0
2025-01-20 08:15:03,8.0,0.0,0.0,8.0,0.5,62.8,0.5,64.3,0.5,63.0,0.5,62.8,64.3,0.5,0.5,64.3,63.0,0.5,62.8,62.8,0.5,0.5,0.5,64.3,0.5,63.0,63.0,0.5,14.9,0.0,63.0,0.5,0.5,0.5,62.8,64.4,63.0,0.5,0.5,62.8,64.3,0.5,0.5,62.8,64.3,0.5,62.8,64.3,63.0,0.5,0.5,63.0,0.5,0.5,4.1,502.4,514.6,4.2,4.1,504.1,62.5,62.5,62.6,62.5,500.2,62.5,62.5,62.5,62.5,61.8,61.8,61.7,61.7,494.0,61.8,61.8,61.8,61.8,70.1,70.1,70.1,70.1,560.6,70.1,70.1,70.1,70.1
2025-01-20 08:15:33,13.0,0.0,0.0,13.0,0.4,67.3,0.4,65.1,0.4,69.5,0.4,67.3,65.1,0.4,0.4,65.1,69.5,0.4,67.3,67.3,0.4,0.4,0.4,65.1,0.4,69.5,69.5,0.4,19.6,0.0,69.5,0.4,0.4,0.4,67.3,65.1,69.5,0.4,0.4,67.3,65.1,0.4,0.4,67.3,65.1,0.4,67.3,65.1,69.5,0.4,0.4,69.5,0.4,0.4,3.0,538.1,520.5,3.1,3.0,555.9,67.3,67.3,67.3,67.3,538.5,67.3,67.3,67.3,67.3,67.9,67.9,68.0,67.9,543.4,67.9,67.9,67.9,67.9,74.2,74.2,74.2,74.2,593.3,74.2,74.2,74.2,74.2
2025-01-20 08:16:03,6.8,0.0,0.0,6.8,0.4,56.4,0.4,52.5,0.4,57.0,0.4,56.4,52.5,0.4,0.4,52.5,57.0,0.4,56.4,56.4,0.4,0.4,0.4,52.5,0.4,57.0,57.0,0.4,13.5,0.0,57.0,0.4,0.4,0.4,56.4,52.5,57.0,0.4,0.4,56.4,52.5,0.4,0.4,56.4,52.5,0.4,56.4,52.5,57.0,0.4,0.4,57.0,0.4,0.4,3.1,451.0,419.8,3.0,3.0,455.7,56.2,56.2,56.2,56.2,449.3,56.2,56.2,56.2,56.2,60.9,60.9,60.8,60.9,486.9,60.9,60.9,60.9,60.9,60.3,60.3,60.3,60.3,482.2,60.3,60.3,60.3,60.3
2025-01-20 08:16:33,14.3,0.0,0.0,14.3,0.4,73.9,0.4,70.9,0.4,75.9,0.4,73.9,70.9,0.4,0.4,70.9,75.9,0.4,73.9,73.9,0.4,0.4,0.4,70.9,0.4,75.9,75.9,0.4,19.8,0.0,75.9,0.4,0.4,0.4,73.9,70.9,75.9,0.4,0.4,73.9,70.9,0.4,0.4,73.9,70.9,0.4,73.9,70.9,75.9,0.4,0.4,75.9,0.4,0.4,3.0,591.4,567.3,3.1,3.0,607.3,76.0,76.0,76.0,76.0,608.1,76.0,76.0,76.0,76.0,72.6,72.6,72.6,72.6,581.0,72.6,72.6,72.6,72.6,83.1,83.1,83.1,83.1,664.7,83.1,83.1,83.1,83.1
2025-01-20 08:17:03,16.1,0.0,0.0,16.1,0.4,57.0,0.4,54.8,0.4,56.1,0.4,57.0,54.8,0.4,0.4,54.8,56.1,0.4,57.1,57.0,0.4,0.4,0.4,54.8,0.4,56.1,56.1,0.4,27.0,0.0,56.1,0.4,0.4,0.4,57.1,54.8,56.1,0.4,0.4,57.0,54.8,0.4,0.4,57.0,54.8,0.4,57.1,54.8,56.1,0.4,0.4,56.1,0.4,0.4,3.1,456.4,438.3,3.1,3.0,449.0,55.7,55.7,55.8,55.8,446.0,55.8,55.7,55.7,55.8,54.1,54.0,54.1,54.1,432.4,54.0,54.0,54.1,54.1,62.2,62.2,62.2,62.2,497.8,62.2,62.2,62.2,62.2
2025-01-20 08:17:33,9.7,0.0,0.0,9.7,0.4,59.9,0.4,58.3,0.4,61.3,0.4,59.9,58.3,0.4,0.4,58.3,61.3,0.4,59.9,59.9,0.4,0.4,0.4,58.3,0.4,61.3,61.3,0.4,15.1,0.0,61.3,0.4,0.4,0.4,59.9,58.3,61.3,0.4,0.4,59.9,58.3,0.4,0.4,59.9,58.3,0.4,59.9,58.3,61.3,0.4,0.4,61.3,0.4,0.4,3.1,479.0,466.5,3.1,3.0,490.4,60.0,59.9,59.9,59.9,479.5,59.9,59.9,59.9,59.9,57.7,57.7,57.7,57.7,461.5,57.7,57.7,57.7,57.7,65.5,65.4,65.4,65.4,523.5,65.4,65.4,65.4,65.4
