Disk Write KB/s his02,sda,sda1,sda2,sda3,sdf,sdg,sde,sdh,sdj,sdi,sdk,sdm,sdn,sdl,sdp,sdd,sdo,sdb,sdc,sdr,sdq,sdu,sdx,sds,sdv,sdt,sdw,sdy,dm-0,dm-1,sdz,sdaa,sdab,sdac,sdad,sdae,sdaf,sdag,sdah,sdai,sdaj,sdak,sdal,sdam,sdan,sdao,sdap,sdaq,sdar,sdas,sdat,sdau,sdav,sdaw,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,sdax,sday,sdaz,sdba,dm-8,sdbb,sdbc,sdbd,sdbe,sdbf,sdbg,sdbh,sdbi,dm-9,sdbj,sdbk,sdbl,sdbm,sdbn,sdbo,sdbp,sdbq,dm-10,sdbr,sdbs,sdbt,sdbu
2025-01-20 08:05:03,129.8,0.0,0.0,129.8,0.0,0.3,0.0,2.1,0.1,4.5,0.1,1.9,6.5,0.1,0.1,3.5,5.1,0.1,2.1,1.6,0.1,0.1,0.1,3.4,0.1,5.1,2.4,0.0,129.8,0.0,4.8,0.1,0.1,0.1,1.9,2.9,3.2,0.0,0.0,0.5,2.6,0.0,0.0,3.5,1.7,0.1,1.1,4.8,8.0,0.1,0.1,4.3,0.1,0.1,0.5,12.8,27.7,0.5,0.5,37.3,12.9,10.6,11.9,17.5,105.0,9.4,17.2,15.8,9.6,4.6,4.6,5.0,5.1,42.8,2.9,4.8,10.9,5.1,15.0,8.8,13.6,13.6,103.9,13.2,15.1,14.5,10.0
2025-01-20 08:05:33,184.4,0.0,0.0,184.4,0.1,23.5,0.1,24.5,0.1,8.3,0.1,17.0,28.8,0.0,0.1,25.9,6.4,0.1,19.0,27.2,0.1,0.1,0.1,15.9,0.1,9.6,10.7,0.1,184.4,0.0,12.3,0.1,0.1,0.1,19.5,27.6,5.6,0.1,0.1,10.1,10.1,0.1,0.1,11.9,8.2,0.0,19.9,14.6,7.2,0.1,0.1,7.7,0.1,0.1,0.5,148.4,155.5,0.5,0.5,67.7,5.5,10.5,14.2,13.8,94.6,12.7,7.7,10.5,19.7,8.0,4.8,9.1,6.7,57.8,7.5,6.7,8.3,6.9,7.7,13.9,21.2,5.8,109.3,19.7,10.0,19.7,11.4
2025-01-20 08:06:03,219.6,0.0,0.0,219.6,0.1,41.7,0.1,31.0,0.1,18.5,0.1,30.5,36.6,0.1,0.0,45.2,18.5,0.1,51.5,20.0,0.1,0.1,0.0,34.3,0.1,13.5,22.9,0.1,219.6,0.0,21.9,0.0,0.0,0.1,16.0,42.4,13.2,0.1,0.1,27.0,35.5,0.1,0.1,27.4,36.7,0.1,33.6,54.2,25.9,0.1,0.1,23.7,0.1,0.1,0.5,247.7,315.9,0.5,0.5,158.1,37.5,35.9,29.2,30.6,256.2,28.2,37.6,32.9,24.3,23.2,16.5,23.7,22.7,179.9,20.0,21.1,32.8,20.0,27.7,19.2,25.6,29.3,212.2,29.9,28.3,22.9,29.3
2025-01-20 08:06:33,178.7,0.0,0.0,178.7,0.1,2.1,0.1,5.9,0.1,11.2,0.1,1.3,1.9,0.1,0.1,0.8,14.8,0.1,1.3,1.6,0.0,0.0,0.1,1.6,0.1,8.2,10.2,0.1,178.7,0.0,10.9,0.1,0.1,0.0,2.9,0.8,7.3,0.1,0.1,1.9,0.5,0.1,0.1,5.6,1.6,0.1,2.1,0.3,15.5,0.0,0.1,8.4,0.0,0.1,0.5,18.9,13.3,0.5,0.5,86.5,4.5,6.7,11.0,8.9,73.2,13.2,14.0,5.3,9.6,27.1,42.6,26.8,30.3,250.1,16.6,50.5,33.0,23.3,4.8,9.9,6.1,8.8,60.0,14.7,5.6,4.8,5.3
2025-01-20 08:07:03,100.9,0.0,0.0,100.9,0.1,3.7,0.0,8.3,0.1,12.5,0.1,5.6,8.8,0.1,0.1,4.5,11.9,0.1,8.0,4.0,0.1,0.1,0.1,10.1,0.1,12.8,9.9,0.1,100.9,0.0,15.9,0.1,0.1,0.1,12.3,8.8,10.7,0.1,0.1,3.7,9.1,0.1,0.1,3.5,5.9,0.1,4.0,9.1,9.9,0.1,0.1,10.9,0.1,0.1,0.5,44.8,64.5,0.5,0.5,94.5,8.3,18.1,13.6,18.1,103.4,14.4,11.5,6.7,12.8,15.4,18.1,23.2,21.4,149.7,23.5,16.9,18.1,13.2,56.0,42.8,39.7,53.6,360.1,39.5,40.2,36.7,51.5
2025-01-20 08:07:33,195.6,0.0,0.0,195.6,0.1,9.0,0.1,2.7,0.1,32.8,0.0,25.3,8.5,0.1,0.1,2.1,14.0,0.1,8.3,15.3,0.1,0.1,0.1,2.9,0.1,39.5,30.9,0.1,195.6,0.0,26.1,0.1,0.1,0.1,12.0,2.4,42.5,0.1,0.1,12.2,6.1,0.1,0.1,16.2,9.9,0.1,7.5,3.7,45.8,0.1,0.0,33.1,0.1,0.1,0.5,105.8,38.4,0.5,0.5,264.7,10.3,18.8,22.7,13.9,130.1,12.8,13.9,17.1,20.5,11.5,14.1,3.2,10.7,84.0,10.4,12.3,5.9,16.0,4.8,1.6,1.9,1.6,23.2,2.1,6.9,1.3,2.9
2025-01-20 08:08:03,158.4,0.0,0.0,158.4,0.1,18.1,0.1,7.2,0.0,4.0,0.1,17.7,3.2,0.1,0.0,2.9,6.1,0.1,14.5,21.2,0.1,0.1,0.0,3.5,0.0,5.1,4.5,0.1,158.4,0.0,5.3,0.1,0.1,0.1,21.8,11.5,4.0,0.1,0.1,17.9,3.5,0.1,0.1,14.3,2.7,0.0,23.5,4.0,6.4,0.1,0.1,5.3,0.1,0.0,0.5,149.1,38.4,0.5,0.5,40.8,21.1,19.0,13.1,26.9,161.6,24.1,17.7,24.4,15.4,3.2,6.7,6.4,4.0,37.8,4.0,4.8,3.7,5.1,1.9,6.9,2.9,3.2,24.8,2.7,2.4,1.6,3.2
2025-01-20 08:08:33,174.0,0.0,0.0,174.0,0.1,6.8,0.1,9.1,0.1,20.7,0.1,13.2,13.6,0.1,0.1,8.0,28.4,0.1,15.0,18.9,0.1,0.1,0.1,14.7,0.1,15.2,37.3,0.0,174.0,0.0,23.9,0.0,0.1,0.1,7.5,9.3,11.9,0.1,0.1,6.4,8.8,0.1,0.1,6.2,12.0,0.1,21.7,8.3,20.9,0.0,0.1,24.7,0.1,0.1,0.5,95.6,83.7,0.5,0.5,183.0,20.8,8.2,22.0,11.2,125.4,15.9,15.9,17.2,14.5,24.6,31.3,17.2,22.0,209.4,44.0,17.8,28.1,24.5,1.9,1.9,2.4,2.7,30.1,6.7,1.9,6.4,6.4
2025-01-20 08:09:03,143.9,0.0,0.0,143.9,0.0,10.1,0.0,18.0,0.1,15.3,0.1,4.3,11.6,0.1,0.1,37.5,8.0,0.1,6.9,7.7,0.1,0.1,0.1,14.8,0.1,13.0,13.7,0.1,143.9,0.0,8.4,0.1,0.1,0.1,7.5,22.6,10.3,0.0,0.1,7.5,15.4,0.0,0.0,2.1,16.0,0.1,10.4,16.6,12.5,0.1,0.1,11.1,0.1,0.1,0.5,56.5,152.4,0.5,0.5,92.1,2.4,5.6,11.5,4.3,47.7,2.9,5.9,6.7,8.5,16.1,7.4,14.7,7.3,86.8,11.9,8.8,9.2,11.3,19.7,12.7,17.9,11.9,120.4,11.0,14.1,10.1,23.0
2025-01-20 08:09:33,185.8,0.0,0.0,185.8,0.1,1.6,0.1,24.9,0.1,4.8,0.1,0.8,35.9,0.0,0.1,14.7,1.6,0.1,1.9,9.6,0.1,0.1,0.0,24.3,0.1,8.0,7.2,0.1,185.8,0.0,4.8,0.1,0.0,0.1,3.2,28.4,6.1,0.1,0.1,2.4,24.4,0.1,0.1,5.6,25.7,0.1,3.7,20.7,5.1,0.1,0.1,4.0,0.1,0.1,0.5,28.8,198.9,0.5,0.5,41.6,18.5,5.0,11.8,15.5,105.4,17.0,16.2,11.0,10.4,47.2,43.4,20.5,26.7,269.7,25.7,41.3,19.4,45.6,31.2,21.6,5.2,7.1,141.9,13.9,17.0,23.7,22.3
2025-01-20 08:10:03,180.0,0.0,0.0,180.0,0.1,8.2,0.1,19.8,0.1,3.7,0.1,6.4,7.3,0.1,0.1,15.7,6.1,0.0,12.8,7.3,0.0,0.0,0.1,8.5,0.1,4.0,2.7,0.1,180.0,0.0,5.1,0.1,0.1,0.0,16.3,7.9,8.5,0.1,0.1,13.4,10.7,0.1,0.1,9.3,8.3,0.1,11.7,12.5,2.9,0.0,0.1,7.2,0.0,0.1,0.5,85.5,90.5,0.5,0.5,40.2,9.6,13.0,11.8,18.9,111.6,20.9,8.5,17.1,11.7,2.7,8.3,3.5,3.7,35.4,5.6,2.7,2.1,6.9,15.5,7.7,13.5,10.3,98.5,24.6,6.6,12.3,8.0
2025-01-20 08:10:33,94.0,0.0,0.0,94.0,0.1,19.9,0.1,15.7,0.1,6.4,0.1,19.8,32.7,0.1,0.1,15.2,6.4,0.1,16.6,29.6,0.1,0.1,0.1,33.9,0.1,3.7,9.6,0.1,94.0,0.0,11.5,0.1,0.1,0.1,32.7,21.1,4.0,0.1,0.1,19.3,20.9,0.1,0.1,13.2,17.1,0.1,18.1,14.8,6.1,0.1,0.1,9.9,0.1,0.1,0.5,169.1,171.5,0.5,0.5,57.6,5.9,4.8,14.1,9.1,62.4,2.9,4.0,7.2,14.4,7.7,6.4,6.4,8.0,63.4,2.4,5.3,19.2,8.0,7.2,6.9,10.7,11.5,65.6,5.9,9.6,6.4,7.5
2025-01-20 08:11:03,208.3,0.0,0.0,208.3,0.1,13.0,0.1,17.0,0.1,13.5,0.0,15.4,8.2,0.0,0.1,14.2,10.4,0.1,15.0,16.8,0.1,0.1,0.1,14.2,0.1,16.1,12.4,0.1,208.3,0.0,19.1,0.1,0.1,0.1,13.5,15.3,16.6,0.1,0.1,11.0,15.6,0.1,0.1,16.9,16.5,0.1,14.5,11.5,14.3,0.1,0.1,8.3,0.1,0.0,0.5,115.9,112.5,0.5,0.5,110.6,12.1,10.8,13.2,6.7,80.0,12.7,8.4,8.0,8.2,5.6,4.8,6.4,5.6,41.8,5.9,3.7,5.6,4.3,2.7,4.8,3.2,2.1,29.1,2.7,3.5,7.5,2.7
2025-01-20 08:11:33,191.8,0.0,0.0,191.8,0.1,170.1,0.0,116.9,0.1,154.8,0.1,106.8,95.0,0.1,0.1,154.2,157.5,0.1,154.1,83.9,0.1,0.1,0.0,130.3,0.0,129.9,119.8,0.1,191.8,0.0,184.4,0.0,0.1,0.1,145.5,148.4,153.5,0.0,0.1,150.6,117.3,0.0,0.1,109.8,91.3,0.1,97.6,134.5,119.7,0.1,0.1,120.5,0.1,0.1,0.5,1018.4,987.8,0.5,0.5,1140.1,112.9,115.5,153.7,146.1,1072.9,109.2,120.6,157.1,157.8,180.1,162.7,117.8,173.8,1254.9,183.9,117.4,134.8,184.3,115.1,122.1,129.5,123.7,985.2,123.0,128.7,120.2,122.9
2025-01-20 08:12:03,205.4,0.0,0.0,205.4,0.1,18.3,0.1,21.2,0.1,3.7,0.1,18.1,17.2,0.1,0.1,17.7,5.1,0.1,23.9,13.7,0.1,0.1,0.1,23.7,0.1,7.7,8.5,0.0,205.4,0.0,5.6,0.1,0.1,0.1,16.8,21.4,18.5,0.1,0.0,22.0,11.6,0.1,0.0,13.7,21.0,0.1,16.6,18.1,4.8,0.0,0.1,16.3,0.1,0.1,0.5,143.1,151.8,0.5,0.5,70.2,9.1,7.7,2.1,1.9,38.1,7.2,3.5,3.5,3.2,5.1,4.3,4.5,11.2,49.8,4.8,6.7,3.5,9.9,6.4,3.2,8.6,10.2,48.8,3.7,3.8,4.0,9.0
2025-01-20 08:12:33,202.4,0.0,0.0,202.4,0.0,3.2,0.1,25.2,0.0,10.4,0.1,6.1,16.6,0.1,0.1,23.7,4.0,0.1,2.1,3.5,0.1,0.1,0.1,9.2,0.1,12.0,16.8,0.1,202.4,0.0,10.1,0.1,0.1,0.1,1.6,16.9,6.7,0.1,0.1,1.9,15.7,0.1,0.1,2.1,16.9,0.0,1.3,14.7,16.5,0.1,0.0,4.0,0.1,0.1,0.5,21.9,138.9,0.5,0.5,80.5,1.6,2.4,1.6,1.6,14.9,1.1,2.4,2.4,1.9,5.6,5.3,5.1,5.9,42.9,5.9,7.2,4.0,4.0,20.6,16.1,11.2,17.0,132.7,14.7,18.7,12.6,21.9
2025-01-20 08:13:03,136.2,0.0,0.0,136.2,0.1,15.3,0.1,24.9,0.1,18.1,0.1,20.2,24.7,0.1,0.0,24.7,15.5,0.1,16.7,24.7,0.1,0.1,0.1,19.7,0.1,20.5,22.9,0.1,136.2,0.0,12.3,0.1,0.1,0.1,14.0,18.0,10.9,0.1,0.1,16.8,27.7,0.1,0.1,18.7,28.5,0.1,6.4,21.9,17.6,0.1,0.1,15.2,0.1,0.1,0.5,132.7,190.0,0.5,0.5,133.0,32.7,39.9,60.0,49.5,349.9,35.4,37.3,40.5,54.6,47.7,38.2,43.5,57.4,362.2,40.9,51.2,46.1,37.2,34.4,28.5,30.5,20.5,204.2,19.0,21.2,24.0,26.1
2025-01-20 08:13:33,201.5,0.0,0.0,201.5,0.1,9.4,0.1,8.3,0.1,14.2,0.1,22.4,8.3,0.1,0.1,3.7,21.0,0.1,40.7,14.6,0.0,0.1,0.0,17.6,0.1,30.0,22.2,0.1,201.5,0.0,15.1,0.1,0.0,0.0,22.3,2.9,16.3,0.1,0.1,10.9,3.2,0.0,0.1,26.2,11.5,0.1,24.4,12.5,25.2,0.1,0.1,20.7,0.1,0.1,0.5,170.9,68.0,0.5,0.5,164.5,16.7,25.9,6.7,26.1,167.9,14.0,29.8,38.5,10.3,24.0,24.4,20.8,24.7,189.1,23.0,22.6,18.6,31.0,2.9,5.1,5.1,4.8,41.3,6.1,4.3,8.8,4.3
2025-01-20 08:14:03,51.0,0.0,0.0,51.0,0.1,12.3,0.1,2.1,0.1,21.6,0.1,16.4,2.7,0.1,0.1,2.7,22.2,0.0,10.0,12.6,0.1,0.0,0.1,10.1,0.1,25.8,26.1,0.1,51.0,0.0,15.0,0.1,0.1,0.1,15.0,7.2,15.3,0.1,0.1,14.1,3.7,0.1,0.1,11.1,3.5,0.1,15.2,7.5,17.2,0.0,0.1,22.4,0.0,0.1,0.5,106.6,39.4,0.5,0.5,165.4,3.2,4.0,10.7,4.3,35.7,3.2,2.7,5.9,1.9,21.9,12.0,11.1,12.4,111.8,11.1,14.0,16.4,13.1,3.5,4.8,6.9,4.5,30.1,4.3,1.3,1.6,3.2
2025-01-20 08:14:33,185.2,0.0,0.0,185.2,0.1,24.4,0.1,17.2,0.1,8.6,0.0,7.4,6.7,0.1,0.1,13.6,10.8,0.1,8.7,11.7,0.1,0.1,0.1,18.9,0.1,7.8,16.6,0.1,185.2,0.0,25.8,0.1,0.1,0.1,10.8,10.0,9.0,0.1,0.1,9.7,13.4,0.1,0.1,8.3,14.8,0.1,10.6,35.0,10.8,0.1,0.1,13.8,0.1,0.1,0.5,91.6,129.7,0.5,0.5,103.1,1.9,3.5,4.3,3.5,26.4,3.2,3.2,3.7,3.2,4.0,4.3,9.3,7.2,49.0,3.7,8.0,7.5,5.1,11.5,16.4,16.5,11.2,93.9,9.1,8.5,9.6,11.2
2025-01-20 08:15:03,145.9,0.0,0.0,145.9,0.1,42.9,0.0,60.9,0.1,33.6,0.1,28.8,62.6,0.0,0.1,70.8,22.4,0.1,48.8,25.9,0.1,0.1,0.0,49.1,0.0,16.3,34.4,0.1,145.9,0.0,23.7,0.0,0.1,0.1,41.3,57.0,22.7,0.0,0.1,34.4,59.9,0.1,0.1,31.7,41.1,0.1,33.8,65.3,32.2,0.1,0.1,37.0,0.1,0.0,0.5,287.6,466.6,0.5,0.5,222.3,36.5,44.8,46.4,36.5,326.8,48.2,38.9,37.6,37.8,23.2,37.6,23.2,34.6,241.5,29.6,26.4,34.6,32.2,45.3,38.5,43.4,52.3,378.9,46.1,47.2,60.5,45.4
2025-01-20 08:15:33,240.1,0.0,0.0,240.1,0.1,7.5,0.1,8.5,0.1,26.5,0.1,19.2,15.9,0.1,0.1,4.4,29.9,0.1,30.2,27.0,0.1,0.1,0.1,15.7,0.1,27.1,22.1,0.0,240.1,0.0,30.8,0.1,0.1,0.1,38.5,24.7,14.8,0.1,0.1,10.8,34.5,0.1,0.1,20.3,15.5,0.1,36.5,9.5,12.6,0.1,0.1,19.8,0.1,0.1,0.5,190.0,128.7,0.5,0.5,183.6,10.4,9.6,7.2,8.0,72.2,11.2,8.3,12.3,5.3,27.7,23.3,28.1,25.5,208.1,27.5,19.6,28.0,28.3,8.5,9.0,14.1,12.9,132.4,21.4,26.1,25.1,15.4
2025-01-20 08:16:03,175.1,0.0,0.0,175.1,0.1,4.8,0.1,4.3,0.1,7.9,0.1,4.5,9.3,0.1,0.1,4.8,30.4,0.1,4.3,6.7,0.1,0.1,0.1,6.1,0.1,15.3,9.8,0.1,175.1,0.0,11.7,0.1,0.1,0.1,5.1,8.0,35.9,0.1,0.1,4.0,4.5,0.1,0.1,5.1,6.7,0.0,4.8,5.9,13.5,0.1,0.0,7.1,0.1,0.1,0.5,39.2,49.6,0.5,0.5,131.6,8.6,6.5,11.3,6.9,113.0,12.3,8.9,40.3,18.3,22.6,33.3,31.5,35.6,251.9,29.9,26.4,46.3,26.3,2.4,4.3,1.6,1.1,21.9,3.7,4.0,2.4,2.4
2025-01-20 08:16:33,187.1,0.0,0.0,187.1,0.1,4.3,0.1,6.1,0.1,12.5,0.1,6.1,5.6,0.1,0.1,21.6,12.5,0.1,6.9,8.3,0.0,0.1,0.1,4.0,0.1,11.8,11.1,0.1,187.1,0.0,14.3,0.1,0.1,0.1,2.7,8.3,14.4,0.1,0.1,5.9,17.1,0.0,0.1,5.6,17.3,0.1,4.5,13.1,7.8,0.0,0.1,16.6,0.1,0.1,0.5,44.2,93.0,0.5,0.5,100.8,25.5,24.7,21.7,26.3,186.5,26.4,20.8,23.1,18.2,6.1,8.3,16.0,6.1,71.4,15.2,6.9,7.2,5.6,13.6,16.7,20.8,11.9,123.9,17.3,12.7,13.5,17.5
2025-01-20 08:17:03,177.4,0.0,0.0,177.4,0.1,14.8,0.1,16.0,0.0,5.1,0.1,14.4,20.5,0.1,0.1,22.3,4.0,0.1,14.0,17.4,0.1,0.1,0.1,16.6,0.1,5.6,8.5,0.1,177.4,0.0,6.7,0.1,0.1,0.0,16.8,15.0,7.2,0.1,0.1,12.4,9.6,0.1,0.1,20.0,18.4,0.1,17.0,16.2,9.9,0.1,0.1,6.4,0.0,0.1,0.5,126.8,134.5,0.5,0.5,53.3,10.1,12.4,7.7,9.1,86.7,11.0,11.8,13.3,11.3,10.9,11.5,8.8,8.5,77.3,11.2,3.7,8.8,13.9,9.3,12.1,11.2,15.7,93.3,8.9,10.6,14.1,11.4
2025-01-20 08:17:33,111.4,0.0,0.0,111.4,0.1,13.4,0.0,51.5,0.1,14.3,0.0,23.6,16.2,0.1,0.0,21.5,11.5,0.1,12.8,21.1,0.1,0.1,0.1,25.9,0.1,17.8,22.2,0.1,111.4,0.0,15.5,0.1,0.1,0.1,17.1,22.3,45.1,0.1,0.1,11.3,28.4,0.1,0.0,8.5,48.4,0.1,27.3,13.6,31.0,0.1,0.1,29.9,0.1,0.1,0.5,135.2,227.7,0.5,0.5,187.4,17.2,10.8,9.9,10.8,93.0,10.4,13.3,13.1,7.6,9.6,19.2,16.8,12.0,107.1,13.1,11.5,9.3,15.7,5.6,4.0,3.2,1.3,30.1,2.9,7.5,2.7,2.9
